batch	num	fish_id	whole_wet_weight	gutted_weight	stom_fullness	gut_fullness	liver_weight	notes
12	4	G.F.BF.03.036	0.6	0.5	2	1	0.01	external poop
12	5	G.F.BF.03.041	1	0.8	2	1	0.018	
12	6	G.F.BF.03.044	1.2	0.9	3	3	0.03	
12	7	G.F.BF.03.045	0.9	0.8	3	2	0.017	external poop
12	8	G.F.BF.03.046	1.8	1.5	4	3	0.035	
13	1	G.F.MG.01.010	0.5	0.4	2	1	0.008	
13	2	G.F.MG.01.013	0.5	0.3	1	1	N/A	liver gone
13	3	G.F.MG.01.016	1	0.8	3	2	0.019	
13	4	G.F.MG.01.017	0.8	0.7	3	1	0.01	
13	5	G.F.MG.01.019	1	0.8	3	1	0.018	
13	6	G.F.MG.01.021	0.5	0.4	2	1	0.006	
13	7	G.F.MG.01.024	0.7	0.6	2	1	0.01	
13	8	G.F.MG.01.026	0.7	0.6	3	2	0.013	
14	1	G.F.MG.02.049	1.1	1	3	2	0.017	
14	2	G.F.MG.02.051	1.3	1.2	3	1	0.027	
14	3	G.F.MG.02.052	1.1	0.8	3	2	0.021	
14	4	G.F.MG.02.053	0.8	0.7	3	2	0.01	not full gut
14	5	G.F.MG.02.055	1.1	1	3	3	0.02	
14	6	G.F.MG.02.057	1.1	0.9	2	2	0.009	
14	7	G.F.MG.02.058	1	0.9	3	2	0.014	
14	8	G.F.MG.02.059	0.5	0.4	4	3	0.011	
15	1	G.F.MG.03.033	1	0.9	3	2	0.016	
15	2	G.F.MG.03.035	1.4	1.2	3	2	0.045	
15	3	G.F.MG.03.036	0.6	0.4	4	3	0.012	
15	4	G.F.MG.03.038	0.7	0.6	3	3	0.008	external anus area damaged
15	5	G.F.MG.03.039	0.8	0.7	2	3	0.007	
15	6	G.F.MG.03.040	0.8	0.6	3	1	0.006	
15	7	G.F.MG.03.041	1.2	1	3	2	0.006	
15	8	G.F.MG.03.047	0.6	0.5	3	2	0.003	not full gut
16	1	G.F.SA.01.035	0.3	0.3	1	1	0.007	
16	2	G.F.SA.01.037	0.4	0.3	2	1	0.01	
16	3	G.F.SA.01.038	0.4	0.2	2	1	0.002	
16	4	G.F.SA.01.040	0.6	0.5	3	1	0.008	
16	5	G.F.SA.01.046	0.7	0.5	2	1	0.007	
16	6	G.F.SA.01.047	0.5	0.3	3	2	0.008	
16	7	G.F.SA.01.052	0.4	0.3	2	2	0.003	
16	8	G.F.SA.01.053	0.5	0.2	1	1	0.001	
17	1	G.F.SA.02.001	1	0.9	3	3	0.019	
17	2	G.F.SA.02.004	0.5	0.3	3	2	0.009	
17	3	G.F.SA.02.005	0.3	0.3	2	1	0.008	
17	4	G.F.SA.02.011	0.6	0.5	3	3	0.008	
17	5	G.F.SA.02.012	1	0.9	3	3	0.012	
17	6	G.F.SA.02.013	1	0.9	3	2	0.023	
17	7	G.F.SA.02.014	0.6	0.6	2	1	0.008	
17	8	G.F.SA.02.015	1.2	1.1	3	2	0.027	
18	1	G.F.SA.03.009	0.8	0.7	3	2	0.008	
18	2	G.F.SA.03.011	0.9	0.8	3	3	0.011	external poop
18	3	G.F.SA.03.013	0.4	0.3	4	3	N/A	liver gone
18	4	G.F.SA.03.015	0.6	0.5	3	1	N/A	"external poop, liver gone"
18	5	G.F.SA.03.018	1	0.8	2	2	0.011	external poop
18	6	G.F.SA.03.023	0.6	0.5	2	1	0.004	
18	7	G.F.SA.03.025	0.7	0.6	2	1	0.013	minor external gut damage
18	8	G.F.SA.03.026	0.6	0.5	1	1	0.002	external poop
19	1	G.W.AR.01.002	0.6	0.5	3	2	0.005	
19	2	G.W.AR.01.008	0.9	0.7	3	2	0.018	
19	3	G.W.AR.01.010	1.2	1.1	3	3	0.018	
19	4	G.W.AR.01.011	0.3	0.3	1	1	0.006	
19	5	G.W.AR.01.015	0.6	0.4	2	1	N/A	liver gone
19	6	G.W.AR.01.016	0.9	0.7	3	3	0.011	
19	7	G.W.AR.01.019	1.3	1	3	3	0.041	
19	8	G.W.AR.01.021	0.7	0.5	4	2	0.013	
20	1	G.W.AR.02.003	0.4	0.4	3	2	0.01	
20	2	G.W.AR.02.008	0.8	0.6	2	2	0.025	
20	3	G.W.AR.02.010	0.7	0.6	3	2	0.013	
20	4	G.W.AR.02.012	0.6	0.5	3	2	0.022	
20	5	G.W.AR.02.013	0.9	0.7	2	2	0.017	
20	6	G.W.AR.02.015	0.4	0.3	2	3	0.013	
20	7	G.W.AR.02.020	0.5	0.4	3	1	0.022	
20	8	G.W.AR.02.023	1	0.9	2	1	0.013	
21	1	G.W.AR.03.002	0.6	0.5	1	2	0.017	
21	2	G.W.AR.03.004	1	0.8	1	1	0.018	
21	3	G.W.AR.03.005	0.7	0.6	1	1	0.022	
21	4	G.W.AR.03.008	0.7	0.5	2	1	0.013	
21	5	G.W.AR.03.010	1	0.8	3	2	0.037	
21	6	G.W.AR.03.012	1.6	1.3	3	3	0.009	
21	7	G.W.AR.03.015	1.3	1.1	1	1	0.054	
21	8	G.W.AR.03.019	0.7	0.5	2	3	0.017	
22	1	G.W.BF.01.001	0.7	0.6	1	1	0.023	
22	2	G.W.BF.01.002	1.9	1.5	2	3	0.105	
22	3	G.W.BF.01.004	0.2	0.1	2	3	0.003	gutted weight less that 0.1
22	4	G.W.BF.01.011	0.2	0.1	2	2	0.009	
22	5	G.W.BF.01.015	N/A	N/A	N/A	N/A	N/A	guts out
22	6	G.W.BF.01.017	0.2	0.1	1	1		gutted weight less that 0.1
22	7	G.W.BF.01.020	0.3	0.2	2	2	0.005	
22	8	G.W.BF.01.082	0.2	0.1	2	2	0.014	gutted weight less that 0.1
24	1	G.W.BF.03.001	0.1	0.1	2	2	N/A	"liver gone, gutted weight <0.1"
24	2	G.W.BF.03.002	0.1	0.1	2	2	N/A	"liver gone, gutted weight <0.1, whole wet weight <0.1"
24	3	G.W.BF.03.003	0.1	0.1	3	3	N/A	"liver gone, gutted weight <0.1, whole wet weight <0.1"
24	4	G.W.BF.03.004	N/A	N/A	N/A	N/A	N/A	damaged
23	1	G.W.BF.02.003	0.9	0.7	3	2	0.081	
23	2	G.W.BF.02.004	1.2	0.9	3	3	0.048	
23	3	G.W.BF.02.005	0.3	0.1	1	1	0.007	
23	4	G.W.BF.02.006	2	1.4	3	2	0.1	
23	5	G.W.BF.02.007	0.8	0.5	1	1	0.019	
23	6	G.W.BF.02.010	N/A	N/A	N/A	N/A	N/A	guts out
23	7	G.W.BF.02.014	0.4	0.1	1	2	0.014	
23	8	G.W.BF.02.017	N/A	N/A	N/A	N/A	N/A	guts out
27	1	G.W.MG.03.002	0.8	0.7	3	3	0.012	
27	2	G.W.MG.03.004	1.1	0.9	3	1	0.042	
27	3	G.W.MG.03.005	0.8	0.6	3	4	0.018	
27	4	G.W.MG.03.006	1.4	1.1	4	3	0.043	
27	5	G.W.MG.03.008	1	0.8	4	3	0.019	
27	6	G.W.MG.03.009	1.6	1.2	4	3	0.043	
27	7	G.W.MG.03.014	1.1	0.9	4	2	0.031	
27	8	G.W.MG.03.015	1.4	1.1	2	3	0.043	"stomach punctured, guts poured out, gut busted"
25	1	G.W.MG.01.001	2	1.5	1	1	0.029	
25	2	G.W.MG.01.002	1.6	1	4	4	0.046	
25	3	G.W.MG.01.006	2.7	2	2	1	0.143	
25	4	G.W.MG.01.007	1.6	1.3	1	2	0.063	
25	5	G.W.MG.01.010	3.1	2.4	3	3	0.038	
25	6	G.W.MG.01.013	1.3	1.1	3	3	0.018	
25	7	G.W.MG.01.016	1.6	1.3	3	2	0.071	
26	1	G.W.MG.02.001	1.5	1.2	3	2	0.03	
26	2	G.W.MG.02.002	1.8	1.4	4	3	0.041	eggs released
26	3	G.W.MG.02.003	1.5	1.2	3	3	0.022	
26	4	G.W.MG.02.004	1.8	1.4	3	3	0.036	
26	5	G.W.MG.02.008	1.8	1.5	4	3	0.049	
26	6	G.W.MG.02.012	1.7	1.4	4	2	0.057	
26	7	G.W.MG.02.018	1.5	1.3	3	2	0.058	
26	8	G.W.MG.02.021	1.8	1.5	3	1	0.065	
28	1	G.W.SA.01.004	0.7	0.6	3	2	0.01	
28	2	G.W.SA.01.005	0.8	0.7	3	2	0.012	
28	3	G.W.SA.01.008	0.6	0.5	4	3	0.01	
28	4	G.W.SA.01.009	1.2	1	2	2	0.019	
28	5	G.W.SA.01.011	1.3	1.1	4	3	0.019	
28	6	G.W.SA.01.012	0.6	0.5	3	2	0.006	
28	7	G.W.SA.01.013	0.9	0.8	3	2	0.017	
28	8	G.W.SA.01.019	0.4	0.3	3	3	0.015	
29	1	G.W.SA.02.001	0.9	0.9	4	3	0.026	
29	2	G.W.SA.02.005	0.7	0.6	3	3	0.03	
29	3	G.W.SA.02.006	1.3	0.9	3	2	0.037	
29	4	G.W.SA.02.007	0.9	0.6	3	3	0.03	
29	5	G.W.SA.02.009	N/A	N/A	N/A	N/A	N/A	guts out
29	6	G.W.SA.02.010	1.4	1	3	2	0.038	
29	7	G.W.SA.02.013	1.1	0.7	3	2	0.035	
29	8	G.W.SA.02.016	1.4	0.9	3	3	0.04	
30	1	G.W.SA.03.004	1.1	1	3	2	0.014	
30	2	G.W.SA.03.005	1.3	1.2	5	4	0.013	busted stomach
30	3	G.W.SA.03.007	1.2	1.1	2	2	0.035	
30	4	G.W.SA.03.010	0.7	0.7	2	1	0.008	
30	5	G.W.SA.03.016	1.1	1	3	2	0.009	
30	6	G.W.SA.03.017	0.9	0.7	4	2	N/A	liver gone
30	7	G.W.SA.03.019	1	0.8	3	3	0.008	
30	8	G.W.SA.03.020	1.1	0.8	4	3	0.016	
31	1	G.S.AR.01.002	1.1	0.9	3	2	0.023	
31	2	G.S.AR.01.004	1.3	1.1	3	3	0.016	
31	3	G.S.AR.01.009	1.1	1	3	3	0.02	
31	4	G.S.AR.01.010	1.4	1.2	3	2	0.076	
31	5	G.S.AR.01.014	1.1	0.9	3	2	0.015	
31	6	G.S.AR.01.015	1	0.8	3	3	0.012	
31	7	G.S.AR.01.016	1.1	1	2	3	N/A	liver gone
31	8	G.S.AR.01.020	1.7	1.5	3	2	0.04	
32	1	G.S.AR.02.002	2.1	1.8	3	2	0.04	
32	2	G.S.AR.02.005	2.1	1.9	3	3	0.075	
32	3	G.S.AR.02.009	2.5	2.2	2	2	0.065	
32	4	G.S.AR.02.010	1.8	1.6	3	2	0.055	
32	5	G.S.AR.02.013	2.1	1.8	3	2	0.052	
32	6	G.S.AR.02.014	1.9	1.6	3	2	0.032	
32	7	G.S.AR.02.016	1.7	1.5	3	2	0.059	
32	8	G.S.AR.02.017	2.2	1.9	3	2	0.058	
33	1	G.S.AR.03.003	1.3	1.1	3	3	0.062	
33	2	G.S.AR.03.004	1.3	1.2	3	3	0.05	
33	3	G.S.AR.03.008	0.9	0.8	3	3	0.022	
33	4	G.S.AR.03.009	1.7	1.5	3	3	0.044	
33	5	G.S.AR.03.013	1.1	1	4	3	0.024	
33	6	G.S.AR.03.016	1	0.8	3	2	0.016	
33	7	G.S.AR.03.018	1	1	3	3	0.036	
33	8	G.S.AR.03.021	0.9	0.9	5	4	0.024	busted stomach
34	1	G.S.BF.01.006	0.7	0.6	2	2	0.019	
34	2	G.S.BF.01.008	0.5	0.4	2	1	0.024	
34	3	G.S.BF.01.009	0.7	0.6	4	4	0.016	
34	4	G.S.BF.01.011	0.5	0.5	3	2	0.007	
34	5	G.S.BF.01.014	0.4	0.3	1	1	0.003	
34	6	G.S.BF.01.015	2.2	1.8	3	2	0.082	
34	7	G.S.BF.01.016	1.9	1.6	4	3	0.068	
34	8	G.S.BF.01.018	0.8	0.7	1	1	0.026	
35	1	G.S.BF.02.002	0.1	0.2	1	1	0.004	
35	2	G.S.BF.02.005	0.4	0.4	1	2	0.007	
35	3	G.S.BF.02.007	0.6	0.6	4	3	0.016	
35	4	G.S.BF.02.008	0.3	0.3	1	2	0.007	
35	5	G.S.BF.02.011	0.7	0.6	1	1	0.015	
35	6	G.S.BF.02.016	0.5	0.4	1	3	0.008	
35	7	G.S.BF.02.017	0.4	0.4	1	3	0.01	
35	8	G.S.BF.02.020	0.4	0.3	1	1	0.007	
36	1	G.S.BF.03.002	0.5	0.5	3	3	0.021	
36	2	G.S.BF.03.007	0.4	0.4	1	1	0.007	
36	3	G.S.BF.03.010	0.7	0.6	2	2	0.027	
36	4	G.S.BF.03.011	0.6	0.5	2	2	0.031	
36	5	G.S.BF.03.012	1.2	1	3	4	0.025	
36	6	G.S.BF.03.013	1.2	1	3	3	0.031	
36	7	G.S.BF.03.016	0.6	0.5	3	3	0.024	
36	8	G.S.BF.03.018	0.7	0.6	2	3	0.018	
37	1	G.S.MG.01.007	0.3	0.2	3	4	0.001	
37	2	G.S.MG.01.008	0.6	0.5	2	2	0.002	
37	3	G.S.MG.01.009	0.5	0.4	3	4	0.004	
37	4	G.S.MG.01.010	0.4	0.4	3	3	0.001	
37	5	G.S.MG.01.018	0.7	0.7	1	2	0.002	
37	6	G.S.MG.01.019	0.8	0.7	2	2	0.008	
37	7	G.S.MG.01.021	0.9	0.8	3	4	0.003	
37	8	G.S.MG.01.022	2.4	2.1	3	2	0.061	
38	1	G.S.MG.02.020	1.3	1.2	0.4	3	0.025	
38	2	G.S.MG.02.021	1.4	1.2	3	3	0.024	
38	3	G.S.MG.02.022	1.3	1.1	4	3	0.026	
38	4	G.S.MG.02.027	0.5	0.3	3	4	0.011	
38	5	G.S.MG.02.028	0.4	0.2	3	3	0.009	
38	6	G.S.MG.02.029	N/A	N/A	N/A	N/A	N/A	guts
38	7	G.S.MG.02.036	1	0.7	4	4	0.022	
38	8	G.S.MG.02.037	0.6	0.3	4	3	0.015	
39	1	G.S.MG.03.004	0.2	0.3	3	2	0.017	
39	2	G.S.MG.03.007	0.6	0.6	2	2	0.027	
39	3	G.S.MG.03.009	0.9	0.9	3	2	0.018	
39	4	G.S.MG.03.010	0.8	0.7	2	2	0.014	
39	5	G.S.MG.03.012	0.3	0.3	2	3	0.015	
39	6	G.S.MG.03.015	0.5	0.4	3	3	0.011	
39	7	G.S.MG.03.016	0.6	0.5	2	2	0.017	
39	8	G.S.MG.03.017	0.8	0.7	3	2	0.017	
40	1	G.S.SA.01.004	0.5	0.5	3	3	N/A	liver gone
40	2	G.S.SA.01.005	0.7	0.6	2	2	0.009	
40	3	G.S.SA.01.006	1.4	1.2	3	2	0.027	
40	4	G.S.SA.01.007	0.7	0.5	3	3	0.011	
40	5	G.S.SA.01.008	1	0.7	1	1	0.013	
40	6	G.S.SA.01.015	0.9	0.6	3	3	N/A	liver gone
40	7	G.S.SA.01.017	0.6	0.3	4	3	0.009	
40	8	G.S.SA.01.020	1.4	1	2	2	0.025	
41	1	G.S.SA.02.002	0.9	0.8	3	2	0.006	
41	2	G.S.SA.02.005	1.5	1.3	2	2	0.014	
41	3	G.S.SA.02.008	1.1	1	3	2	0.011	
41	4	G.S.SA.02.009	0.9	0.8	3	2	0.006	
41	5	G.S.SA.02.011	0.6	0.5	2	2	0.006	
41	6	G.S.SA.02.012	1.1	1	4	4	0.008	
41	7	G.S.SA.02.016	0.3	0.2	3	2	N/A	
41	8	G.S.SA.02.019	0.6	0.5	3	3	0.002	
42	1	G.S.SA.03.001	0.4	0.3	3	2	0.001	liver weight <0.001
42	2	G.S.SA.03.002	0.4	0.3	3	2	0.001	
42	3	G.S.SA.03.003	0.4	0.4	2	3	0.004	
42	4	G.S.SA.03.004	0.2	0.3	1	1	0.001	liver weight <0.001
42	5	G.S.SA.03.007	0.3	0.3	2	1	0.001	liver weight <0.001
42	6	G.S.SA.03.008	0.4	0.3	3	3	N/A	liver gone
42	7	G.S.SA.03.009	N/A	N/A	N/A	N/A	N/A	"small, mushy"
42	8	G.S.SA.03.010	2.3	2	2	2	0.027	
53	1	G.F.AR.01.003	0.6	0.6	2	1	0.004	
53	2	G.F.AR.01.004	0.9	0.8	4	3	0.001	<0.001
53	3	G.F.AR.01.005	0.5	0.5	3	2	N/A	liver gone
53	4	G.F.AR.01.008	1.2	1	3	3	N/A	liver gone
53	5	G.F.AR.01.009	1.8	1.5	3	3	0.017	
53	6	G.F.AR.01.011	0.6	0.6	3	2	0.014	
53	7	G.F.AR.01.013	0.2	0.2	3	2	N/A	liver gone
53	8	G.F.AR.01.015	1.5	1.2	3	3	0.014	
54	1	G.F.AR.02.001	0.7	0.7	3	3	0.001	liver weight <0.001
54	2	G.F.AR.02.002	1.5	1.5	3	3	0.009	
54	3	G.F.AR.03.005	0.2	0.2	1	1	N/A	liver gone
54	4	G.F.AR.03.012	0.3	0.2	1	1	N/A	liver gone
54	5	G.F.AR.03.014	0.2	0.1	1	1	N/A	liver gone
54	6	G.F.AR.03.016	0.2	0.1	1	1	N/A	liver gone
54	7	G.F.AR.03.018	0.2	0.1	1	1	N/A	liver gone
55	1	G.F.AR.03.021	1.1	1	4	3	0.005	
55	2	G.F.AR.03.022	0.3	0.4	3	3	N/A	liver gone
55	3	G.F.AR.03.023	0.4	0.3	3	3	0.001	liver weight <0.001
55	4	G.F.AR.03.025	0.6	0.5	1	2	0.001	liver weight <0.001
55	5	G.F.AR.03.030	1.3	1.1	3	2	0.008	
55	6	G.F.AR.03.032	1.2	1	3	2	0.006	
55	7	G.F.AR.03.035	0.9	0.8	3	2	N/A	liver gone
55	8	G.F.AR.03.036	1.3	1.1	3	2	0.008	
56	1	G.F.BF.01.002	0.045	0.045	1	1	N/A	poop outside of body
56	2	G.F.BF.01.003	0.069	0.069	1	1	N/A	poop outside of body
56	3	G.F.MG.01.107	0.079	0.076	1	1	N/A	
56	4	G.F.MG.01.108	0.095	0.083	1	2	N/A	
57	1	G.F.BF.02.141	5.1	4.6	3	4	0.002	
57	2	G.F.BF.02.142	4.5	3.9	4	3	0.003	
57	3	G.F.BF.02.143	7.9	7	3	3	0.009	
57	4	G.F.BF.02.144	5	4.7	2	2	0.001	
57	5	G.F.BF.02.145	13.6	12.4	4	4	0.017	
57	6	G.F.BF.02.001	0.05	0.047	2	1	N/A	poop outside body
57	7	G.F.BF.02.002	0.053	0.053	1	1	N/A	
57	8	G.F.BF.02.003	0.06	N/A	1	1	N/A	poop outside body
58	1	G.F.BF.03.001	0.044	0.044	1	1	N/A	
58	2	G.F.BF.03.002	0.077	0.069	2	2	N/A	
58	3	G.F.BF.03.003	0.059	0.059	2	1	N/A	
58	4	G.F.BF.03.007	0.078	0.073	2	2	N/A	
58	5	G.F.BF.03.015	0.065	0.065	2	2	N/A	
58	6	G.F.BF.03.020	0.054	0.045	1	1	N/A	
58	7	G.F.BF.03.022	0.052	0.052	2	2	N/A	
58	8	G.F.BF.03.029	0.053	0.053	2	1	N/A	
59	1	G.F.MG.01.001	0.6	0.5	2	2	0.001	liver weight <0.001
59	2	G.F.MG.01.002	0.7	0.6	2	2	0.001	liver weight <0.001
59	3	G.F.MG.01.003	0.6	0.5	3	3	0.001	liver weight <0.001
59	4	G.F.MG.01.005	0.7	0.6	3	3	0.003	
59	5	G.F.MG.01.006	1	0.9	2	3	0.006	
59	6	G.F.MG.01.007	1.8	1.7	3	2	0.008	
59	7	G.F.MG.01.008	1	0.8	3	3	0.005	
59	8	G.F.MG.01.009	1	0.7	2	2	0.007	
60	1	G.F.MG.02.001	0.151	0.1	1	1	N/A	
60	2	G.F.MG.02.002	0.2	0.2	1	N/A	N/A	gut busted
60	3	G.F.MG.02.007	0.3	0.3	N/A	N/A	N/A	gut busted
60	4	G.F.MG.02.010	0.1	0.1	1	1	N/A	poop outside
60	5	G.F.MG.02.021	0.2	0.2	1	1	N/A	
60	6	G.F.MG.02.026	0.3	0.3	2	1	N/A	
60	7	G.F.MG.02.033	0.3	0.3	1	1	N/A	
60	8	G.F.MG.02.035	0.2	0.2	2	1	N/A	
61	1	G.F.MG.02.126	0.2	0.2	2	1	N/A	
61	2	G.F.MG.02.011	0.2	0.2	1	1	N/A	
61	3	G.F.MG.02.022	1.4	1.2	3	3	0.011	
61	4	G.F.MG.02.023	0.6	0.5	3	2	N/A	
61	5	G.F.MG.02.024	0.7	0.7	2	1	0.009	
61	6	G.F.MG.02.039	0.4	0.4	2	1	0.007	
61	7	G.F.MG.02.028	0.1	0.1	1	1	N/A	
61	8	G.F.MG.02.039	0.1	0	1	1	N/A	
62	1	G.F.MG.03.001	0.1	0	N/A	N/A	N/A	"full system not here, something was 1"
62	2	G.F.MG.03.002	0.2	0.2	1	1	N/A	
62	3	G.F.MG.03.011	0.1	1	2	1	N/A	
62	4	G.F.MG.03.015	0.1	0.1	1	1	N/A	
62	5	G.F.MG.03.018	1	0.9	3	3	N/A	
62	6	G.F.MG.03.021	0.2	0.1	3	1	N/A	
62	7	G.F.MG.03.026	0.2	0.1	3	2	N/A	
62	8	G.F.MG.03.025	0.6	0.6	1	3	N/A	
63	1	G.F.SA.01.002	0.076	0.063	1	1	N/A	
63	2	G.F.SA.01.003	0.19	0.16	1	1	N/A	poop outside
63	3	G.F.SA.01.004	0.065	0.051	1	1	N/A	poop outside
63	4	G.F.SA.01.005	0.061	0.047	2	1	N/A	tail is broken
63	5	G.F.SA.01.008	0.099	0.087	2	1	N/A	
63	6	G.F.SA.01.014	0.08	0.067	1	1	N/A	guts
63	7	G.F.SA.01.020	0.078	0.067	N/A	N/A	N/A	not a full system
63	8	G.F.SA.01.034	0.062	0.054	1	1	N/A	
64	1	G.F.SA.02.039	0.075	0.057	1	1	N/A	poop
64	2	G.F.SA.02.037	0.5	0.4	2	2	N/A	
64	3	G.F.SA.02.041	0.084	0.075	1	1	N/A	
64	4	G.F.SA.02.038	0.8	0.7	1	1	N/A	
64	5	G.F.SA.02.046	0.092	0.076	1	1	N/A	
64	6	G.F.SA.02.049	0.075	0.063	3	2	N/A	
65	1	G.F.SA.03.001	0.3	0.3	2	1	N/A	
65	2	G.F.SA.03.002	0.5	0.4	2	2	N/A	
65	3	G.F.SA.03.003	0.7	0.6	2	1	N/A	poop
65	4	G.F.SA.03.004	1	0.7	2	2	N/A	
65	5	G.F.SA.03.005	1.8	1.6	3	2	N/A	
65	6	G.F.SA.03.006	1.3	1.2	2	1	N/A	
65	7	G.F.SA.03.007	0.4	0.3	3	2	N/A	
65	8	G.F.SA.03.008	0.9	0.8	3	2	N/A	
66	1	G.W.AR.01.071	2.6	2.4	3	2	0.006	
66	2	G.W.AR.01.072	1	0.9	2	2	N/A	
66	3	G.W.AR.01.073	0.8	0.8	2	2	N/A	
66	4	G.W.AR.01.081	1.4	1.3	3	3	N/A	poop outside body
66	5	G.W.AR.01.084	0.6	0.6	1	1	N/A	poop outside body
66	6	G.W.AR.01.086	0.3	0.3	1	1	N/A	poop outside body
66	7	G.W.AR.01.088	0.4	0.4	1	1	N/A	
66	8	G.W.AR.01.089	1.2	1.1	1	2	0.009	
67	1	G.W.AR.01.091	0.2	0.2	1	1	N/A	parasites
67	2	G.W.AR.01.093	0.3	2	1	1	N/A	parasites
67	3	G.W.AR.01.099	0.12	0.099	1	1	N/A	"parasites, weighed and dissected in Geist lab"
67	4	G.W.AR.01.104	0.5	0.5	2	1	N/A	
67	5	G.W.AR.01.106	0.3	0.3	1	1	N/A	
67	6	G.W.AR.01.074	3.1	2.8	3	3	N/A	
67	7	G.W.AR.01.075	3.3	3	3	3	N/A	
68	1	G.W.AR.02.067	1.4	1.2	2	1	0.015	
68	2	G.W.AR.02.076	0.1	0	N/A	N/A	N/A	
68	3	G.W.AR.02.080	0.5	0.5	3	2	N/A	
68	4	G.W.AR.02.081	0.5	0.5	2	2	N/A	
68	5	G.W.AR.02.082	0.2	0.1	1	1	N/A	
68	6	G.W.AR.02.083	0.3	0.2	2	1	N/A	
68	7	G.W.AR.02.084	0.3	0.2	2	2	N/A	
68	8	G.W.AR.02.088	0.6	0.5	2	2	N/A	
69	1	G.W.AR.02.075	0.5	0.4	2	2	N/A	
69	2	G.W.AR.02.077	0.5	0.4	2	2	N/A	
69	3	G.W.AR.02.070	0.5	0.4	1	1	N/A	
69	4	G.W.AR.02.071	0.5	0.4	1	1	N/A	
69	5	G.W.AR.02.072	0.5	0.4	2	2	N/A	
69	6	G.W.AR.03.065	0.4	0.3	2	1	N/A	
69	7	G.W.AR.03.068	0.2	0.1	1	2	N/A	
69	8	G.W.AR.03.064	3	2.5	2	2	N/A	
70	1	G.W.AR.03.083	0.4	0.4	1	2	N/A	
70	2	G.W.AR.03.084	0.3	0.3	1	1	N/A	
70	3	G.W.AR.03.085	0.7	0.7	2	1	N/A	external poop
70	4	G.W.AR.03.088	0.9	0.9	3	3	N/A	external poop
70	5	G.W.AR.03.090	0.7	0.7	2	2	N/A	
70	6	G.W.AR.03.092	0.5	0.5	3	3	N/A	external poop
70	7	G.W.AR.03.095	0.7	0.7	2	2	N/A	
70	8	G.W.AR.03.104	0.7	0.7	2	3	N/A	
